id,type,name,address,number,state,city,zip,lat,lon,point
1557,Pharmacy,Bauer-Hardy,310 Smith Mountains,901-768-7116,MA,Worcester,1606,42.311834,-71.794465,"(42.31183400000001, -71.794465)"
1558,Pharmacy,"Smith, Gonzales and Mccoy",421 Michael Stravenue,786-679-9275,NV,Mountain City,89831,41.059414,-115.529596,"(41.059414, -115.529596)"
1559,Hospital,Day-Brown,9652 Adams Ports,492-601-0908,WA,Black Diamond,98010,47.310568,-121.998721,"(47.310568, -121.998721)"
1560,Pharmacy,Austin-Strong,976 Martin Cliff,390-349-8067,ME,Greenville Junction,4442,45.792364,-69.30463,"(45.792364, -69.30463)"
1561,Pharmacy,"Hoover, Russo and Hernandez",661 Black Ville Apt. 126,584-188-7678,OR,Hillsboro,97123,45.458397,-122.977963,"(45.458397, -122.977963)"
1562,Pharmacy,Wells-Taylor,502 John Light Apt. 390,458-308-3963,PA,Farmington,15437,39.79741,-79.596769,"(39.79741, -79.596769)"
1563,Pharmacy,Trevino LLC,104 James Groves Suite 716,494-088-2676,PA,Ford City,16226,40.79965,-79.420198,"(40.79965, -79.420198)"
1564,Hospital,Rice-Pena,5229 Hughes Divide,766-884-5566,TX,El Paso,88511,31.694842,-106.299987,"(31.694842, -106.29998700000002)"
1565,Hospital,Moss-Jones,763 Cameron Shore Apt. 233,822-585-2075,PA,Pocono Manor,18349,41.122633,-75.45882,"(41.122633, -75.45881999999997)"
1566,Hospital,Thompson Group,662 Katherine Roads,828-235-9895,AK,Kivalina,99750,66.868442,-159.843924,"(66.868442, -159.843924)"
1567,Pharmacy,Gonzalez Inc,5433 Mccullough Divide Suite 050,379-390-4191,WA,Hoquiam,98550,47.101202,-123.731611,"(47.101202, -123.73161100000002)"
1568,Pharmacy,"Colon, Santiago and Reeves",90398 Sanchez Canyon,951-489-4707,NC,Simpson,27879,35.567478,-77.280169,"(35.567478, -77.280169)"
1569,Pharmacy,Rodriguez LLC,84129 Michael Run Suite 345,956-564-1778,KS,Bremen,66412,39.907206,-96.758998,"(39.907206, -96.758998)"
1570,Pharmacy,Richardson-Hernandez,1576 Travis Springs Apt. 254,657-712-9735,KY,Cave City,42127,37.10279,-85.908887,"(37.10279, -85.908887)"
1571,Pharmacy,Lopez Inc,8548 Jenkins Harbors,194-883-5206,TX,San Antonio,78293,29.437532,-98.461582,"(29.437532, -98.461582)"
1572,Pharmacy,"Graves, Jackson and Jones",184 Thornton Shoals,260-335-1221,PA,Philadelphia,19170,40.001811,-75.11787,"(40.001811, -75.11787)"
1573,Pharmacy,Choi LLC,591 Meredith Estate,945-637-3108,CO,Kremmling,80459,40.147681,-106.378296,"(40.147681, -106.378296)"
1574,Pharmacy,Lopez-Baker,089 Renee Ferry,676-039-2539,AR,Ben Lomond,71823,33.837053,-94.120289,"(33.837053000000004, -94.120289)"
1575,Hospital,Anderson-Estrada,0137 Judy Mission Suite 930,657-395-2225,TX,Wink,79789,31.755315,-103.155748,"(31.755315000000003, -103.155748)"
1576,Pharmacy,"Martin, Allen and Herrera",7234 Sean Path Suite 358,507-462-5213,TN,Soddy Daisy,37379,35.211052,-85.198979,"(35.211052, -85.19897900000002)"
1577,Pharmacy,Watkins-Rhodes,98900 Macias Spurs Suite 487,163-649-0888,CA,Daly City,94017,37.381144,-122.334825,"(37.381144, -122.334825)"
1578,Hospital,Garcia Inc,87250 Hunt Mission,610-346-0433,HI,Hanapepe,96716,22.020489,-159.617765,"(22.020489, -159.617765)"
1579,Pharmacy,Wilson Inc,1143 Paula Islands Apt. 757,105-176-4164,VA,Bishop,24604,37.203317,-81.557499,"(37.203317, -81.55749899999998)"
1580,Pharmacy,"Gray, Walters and Bowman",735 Aguilar Station Apt. 438,722-808-6203,MA,East Walpole,2032,42.153786,-71.21455,"(42.153786, -71.21455)"
1581,Pharmacy,"Garner, Chase and Marquez",090 Herrera Burgs,676-678-5321,KY,Strunk,42649,36.777331,-84.502512,"(36.777331, -84.502512)"
1582,Hospital,Fleming and Sons,4551 Robinson Views,837-371-4982,NJ,Eatontown,7799,40.302718,-74.24928,"(40.302718, -74.24928)"
1583,Pharmacy,Jacobs and Sons,93419 Alexander Square Suite 187,930-758-1914,MI,Utica,48316,42.688531,-83.05483,"(42.688531, -83.05483000000002)"
1584,Hospital,James Group,3400 Johnston Well Suite 865,712-306-9497,OH,Chesterhill,43728,39.497841,-81.898307,"(39.497841, -81.89830699999997)"
1585,Pharmacy,Lopez-Reed,110 Taylor Vista,900-138-6847,NY,Livingston Manor,12758,41.818205,-74.802549,"(41.818205, -74.802549)"
1586,Hospital,"Roberts, Randolph and Ware",46169 Matthew Vista Apt. 504,668-375-9437,CA,Newbury Park,91319,34.032383,-119.1343,"(34.032383, -119.1343)"
1587,Hospital,Harrington PLC,9550 Natalie Wells Suite 116,974-483-4616,ME,West Minot,4288,44.197009,-70.239485,"(44.197009, -70.239485)"
1588,Pharmacy,Nicholson Ltd,4522 Robert Forks Apt. 054,821-793-9833,MS,Jackson,39202,32.305395,-90.176737,"(32.305395000000004, -90.176737)"
1589,Pharmacy,Perkins-Austin,6227 Arnold Courts Apt. 517,686-313-7742,PA,Philadelphia,19130,40.001161,-75.169671,"(40.001161, -75.169671)"
1590,Pharmacy,"Preston, Mccormick and Kirby",2859 Gary Valley,919-538-5668,VA,Newport,24128,37.331516,-80.523039,"(37.331516, -80.523039)"
1591,Pharmacy,"Thomas, George and Edwards",4932 Daniel Isle Apt. 365,615-715-9739,MD,Marion Station,21838,38.018983,-75.728768,"(38.018983, -75.728768)"
1592,Pharmacy,Rivera-Sanders,995 Lewis Road,109-135-1582,TX,Houston,77222,29.83399,-95.434241,"(29.833990000000004, -95.434241)"
1593,Pharmacy,"Hendricks, Jones and Rodriguez",720 Christine Courts Suite 245,787-159-4075,WV,Sutton,26601,38.654141,-80.67597,"(38.654141, -80.67596999999998)"
1594,Pharmacy,Singleton Ltd,126 Martin Garden,662-352-5472,CA,Greenview,96037,41.540332,-122.936575,"(41.540332, -122.936575)"
1595,Pharmacy,Haney-Klein,6317 Caitlin Harbor,939-168-4427,WA,Seattle,98102,47.432251,-121.803388,"(47.432251, -121.80338799999998)"
1596,Pharmacy,"Solis, Mercer and Smith",20845 Lucas Course,446-723-2466,OH,Richmond,43944,40.441964,-80.791768,"(40.441964, -80.791768)"
1597,Pharmacy,Weaver and Sons,9227 Gina Motorway Apt. 347,592-622-7863,FL,Orlando,32896,28.32,-81.22,"(28.32, -81.22)"
1598,Pharmacy,Medina-Hall,311 Smith Throughway,163-342-4403,CA,San Diego,92115,32.7576,-117.070688,"(32.7576, -117.070688)"
1599,Pharmacy,Burnett Inc,69953 Bradley Light Suite 065,846-800-4808,CA,Garden Grove,92846,33.640302,-117.769442,"(33.640302, -117.769442)"
1600,Pharmacy,Ramirez Ltd,568 Price Corner,727-067-9260,TX,Roscoe,79545,32.384442,-100.572217,"(32.384442, -100.572217)"
1601,Pharmacy,Henson-Ho,2926 Pam Dale Suite 005,491-526-2579,MA,Merrimac,1860,42.802441,-71.0896,"(42.802441, -71.0896)"
1602,Hospital,"Thomas, Miller and Kelly",2014 Robertson Heights,339-197-9686,MN,Albertville,55301,45.258673,-93.664342,"(45.258673, -93.664342)"
1603,Pharmacy,Miller-Rivas,19653 Jennifer Street,974-784-0412,NE,Curtis,69025,40.643861,-100.54399,"(40.643861, -100.54399)"
1604,Pharmacy,"Miller, Carney and Shaw",37255 Paul Lake,536-049-8847,AL,Notasulga,36866,32.536635,-85.697354,"(32.536635, -85.697354)"
1605,Pharmacy,"Thompson, Jensen and Smith",57044 Shaw Stravenue Apt. 515,962-082-1117,PA,Jennerstown,15547,40.1595,-79.061629,"(40.1595, -79.06162900000002)"
1606,Pharmacy,Johnson and Sons,354 Donna Port Apt. 594,665-534-5480,ME,Easton,4740,46.611101,-67.85582,"(46.611101, -67.85582)"
1607,Pharmacy,Fisher-Herrera,013 Moore Trafficway,567-338-0337,MD,Bethesda,20816,38.955907,-77.1165,"(38.955907, -77.1165)"
1608,Pharmacy,Berry Ltd,5361 Zimmerman Forks,823-730-6728,ND,Luverne,58056,47.45565,-97.718955,"(47.45565, -97.718955)"
1609,Pharmacy,Hanson Inc,8201 Johnson Tunnel Apt. 845,670-095-1099,CA,Chula Vista,91913,32.639967,-116.984669,"(32.639967, -116.984669)"
1610,Hospital,"Avila, Archer and Jacobson",64140 Jennifer Mall Suite 212,413-609-2229,IA,Knoxville,50197,41.334549,-93.099205,"(41.334549, -93.099205)"
1611,Hospital,Lee-Duncan,781 Ramirez Lights,130-791-1998,MD,Bethesda,20889,39.143979,-77.207617,"(39.143979, -77.207617)"
1612,Pharmacy,Jones-Thomas,2620 Michelle Court Apt. 280,174-198-1144,RI,Shannock,2875,41.456039,-71.635474,"(41.456039, -71.635474)"
1613,Pharmacy,Mcguire Inc,532 Dillon Field,655-390-2406,RI,Providence,2905,41.803799,-71.422547,"(41.803799, -71.422547)"
1614,Pharmacy,Jenkins-Wheeler,0761 Audrey Course,401-745-0841,TN,Grimsley,38565,36.259849,-85.00154,"(36.259849, -85.00154)"
1615,Pharmacy,Powell-Herman,5240 Glover Shores Apt. 283,984-695-7858,SC,Rock Hill,29732,34.937706,-81.092227,"(34.937706, -81.09222700000002)"
1616,Pharmacy,Dominguez-Thompson,69573 Bowman Cove Apt. 851,185-196-3613,NJ,Tennent,7763,40.302718,-74.24928,"(40.302718, -74.24928)"
1617,Pharmacy,Gordon and Sons,6323 Martinez Ranch,495-010-8375,KS,Hoxie,67740,39.355013,-100.440513,"(39.355013, -100.440513)"
1618,Pharmacy,Pierce Ltd,6213 Joyce Lights,789-702-9286,FL,Jacksonville,32211,30.347139,-81.581959,"(30.347139, -81.581959)"
1619,Pharmacy,"Mercer, Francis and Welch",37993 Dawn Divide,445-323-4028,OH,Mc Cutchenville,44844,40.958503,-83.247403,"(40.958503, -83.247403)"
1620,Pharmacy,Barnett-Miller,51669 Jon Roads,882-869-3094,TN,Nashville,37206,36.180143,-86.73575,"(36.180143, -86.73575)"
1621,Hospital,Prince-Martinez,70136 Jason Tunnel Suite 853,753-531-4924,NY,Orangeburg,10962,41.057496,-73.953181,"(41.057496, -73.953181)"
1622,Hospital,"Arroyo, Ross and Cross",64332 Olsen Throughway Apt. 142,273-877-4126,PA,South Heights,15081,40.576267,-80.238332,"(40.576267, -80.238332)"
1623,Pharmacy,"Carpenter, Molina and Jackson",34085 William Stravenue,362-715-7004,MO,Independence,64052,39.075554,-94.451179,"(39.075554, -94.451179)"
1624,Pharmacy,Gonzalez Ltd,7417 Burke Pass,105-159-1207,NY,Commack,11725,40.842247,-73.280935,"(40.842247, -73.280935)"
1625,Pharmacy,"White, Waters and Richardson",85365 Nguyen Overpass Apt. 369,726-580-9918,FL,New Port Richey,34654,28.296388,-82.617095,"(28.296388, -82.61709499999998)"
1626,Hospital,Gonzales and Sons,50575 Medina Meadow Suite 192,909-544-9439,OH,Burbank,44214,40.927483,-81.996351,"(40.927483, -81.996351)"
1627,Hospital,"Jensen, Garcia and Henry",577 Pacheco Extension Apt. 155,148-181-5221,TN,Mitchellville,37119,36.631981,-86.539028,"(36.631981, -86.539028)"
1628,Pharmacy,Fisher and Sons,838 Brown Fort,871-613-2072,TX,Brownsville,78526,25.971728,-97.469871,"(25.971728, -97.469871)"
1629,Pharmacy,Wiggins-Williams,6214 Laurie Wall Suite 259,629-879-8884,WI,Exeland,54835,45.780382,-91.224718,"(45.780382, -91.224718)"
1630,Pharmacy,Peck-Serrano,647 Wayne Burg,546-006-2249,MA,Cambridge,2141,42.368673,-71.083596,"(42.368673, -71.083596)"
1631,Pharmacy,Reed Ltd,075 Matthew Wall Suite 557,218-391-7172,WV,Ravencliff,25913,37.603344,-81.53998,"(37.603344, -81.53998)"
1632,Pharmacy,Malone-Turner,76918 Julie Glens,336-717-9820,ND,Great Bend,58039,46.160427,-96.843465,"(46.160427, -96.843465)"
1633,Pharmacy,"Moody, Valentine and Allen",9524 Stephen Mission,708-874-0046,WI,Dunbar,54119,45.591557,-88.222435,"(45.591557, -88.222435)"
1634,Pharmacy,Dean-Smith,431 Troy Ports,231-458-2095,IL,Willow Springs,60480,41.811929,-87.68732,"(41.811929, -87.68732)"
1635,Hospital,"Rivera, Sullivan and Anderson",6598 Daniel Isle,846-267-5805,AR,Mc Crory,72101,35.259987,-91.219846,"(35.259987, -91.219846)"
1636,Pharmacy,Brennan LLC,8070 Ricky Grove Suite 323,506-154-7631,IN,Monterey,46960,41.124552,-86.544617,"(41.124552, -86.544617)"
1637,Hospital,Thomas-Gonzalez,4713 Guerra Plains,228-446-8333,CO,Snowmass,81654,39.251721,-106.922425,"(39.251721, -106.922425)"
1638,Pharmacy,Hernandez-Gates,67828 Caldwell Dale,691-645-9853,MN,Cloquet,55720,46.592512,-92.549564,"(46.592512, -92.549564)"
1639,Pharmacy,Larson-Mckay,346 Kathy Parks Apt. 742,121-098-8430,MO,Valley Park,63088,38.553203,-90.488896,"(38.553203, -90.488896)"
1640,Pharmacy,"Jackson, Singleton and Brown",3366 Heather Plaza,303-763-0288,NM,Vadito,87579,36.133845,-105.571165,"(36.133845, -105.571165)"
1641,Pharmacy,Day-Owens,213 James Alley,252-378-5686,NY,Jamaica,11425,40.651378,-73.870779,"(40.651378, -73.870779)"
1642,Hospital,Pollard LLC,3112 Jonathan Throughway Apt. 955,165-301-7274,AR,Bigelow,72016,34.968975,-92.626882,"(34.968975, -92.626882)"
1643,Pharmacy,Herrera-Gibbs,219 Taylor Manors,286-616-0719,PA,Corsica,15829,41.141079,-78.962877,"(41.141079, -78.962877)"
1644,Pharmacy,May PLC,121 Ramos Isle Apt. 715,462-083-9068,VA,Dulles,20104,39.085309,-77.645224,"(39.085309, -77.645224)"
1645,Pharmacy,"Hughes, Jacobson and Lynch",1226 Hughes Island Apt. 282,738-707-6388,KY,Rockhouse,41561,37.33162,-82.462574,"(37.33162, -82.462574)"
1646,Pharmacy,Mckenzie-Jones,9215 Tate Prairie Apt. 779,876-852-1160,OH,Uhrichsville,44683,40.451788,-81.356471,"(40.451788, -81.356471)"
1647,Hospital,Martin PLC,237 Jessica Shoal,313-066-1990,KS,Spring Hill,66083,38.789323,-94.788441,"(38.789323, -94.788441)"
1648,Hospital,Moreno Group,6298 Cook Valleys,206-283-2358,MI,Edmore,48829,43.401096,-85.022308,"(43.401096, -85.022308)"
1649,Pharmacy,"Winters, Davis and Jones",3904 Watson Coves,197-782-2108,IN,Selma,47383,40.15178,-85.265562,"(40.15178, -85.265562)"
1650,Hospital,Mitchell-Williams,408 Collins Branch Apt. 753,504-384-1804,MO,Clubb,63934,37.119566,-90.444953,"(37.119566, -90.444953)"
1651,Pharmacy,Arnold-Davis,26301 Hardy Plaza Suite 708,874-679-6167,IL,Chicago,60605,41.811929,-87.68732,"(41.811929, -87.68732)"
1652,Pharmacy,"Moran, Russell and White",05904 Pearson Freeway Apt. 809,447-646-9255,SC,Martin,29836,32.951573,-81.348337,"(32.951573, -81.348337)"
1653,Hospital,Fitzgerald Ltd,78573 Kathryn Course Suite 747,941-345-7392,TN,Benton,37307,35.130815,-84.521805,"(35.130815000000005, -84.521805)"
1654,Pharmacy,Reyes-Johnson,1698 Smith Vista Apt. 216,922-565-5331,CA,San Diego,92196,33.016928,-116.846046,"(33.016928, -116.846046)"
1655,Hospital,Vega-Cruz,89169 Hoffman Flat Suite 666,726-154-0117,NY,New Hyde Park,11040,40.729351,-73.682824,"(40.729351, -73.682824)"
1656,Pharmacy,Clark PLC,026 Kristy Burgs,159-289-4087,WI,Milwaukee,53259,43.038663,-87.913934,"(43.038663, -87.913934)"
1657,Pharmacy,"Greene, Hunter and Miller",7912 Harris Mountains,628-761-1149,IA,Atkins,52206,42.057516,-92.058526,"(42.057516, -92.058526)"
1658,Pharmacy,Case-Davis,6932 Amanda Avenue,476-695-9866,AR,Henderson,72544,36.410457,-92.195113,"(36.410457, -92.195113)"
1659,Hospital,Mckenzie Ltd,6865 Robinson Trace Apt. 732,392-082-8991,NE,Max,69037,40.176417,-101.687688,"(40.176417, -101.687688)"
1660,Pharmacy,"Krause, Patel and Maynard",0701 Stephens Locks,740-201-3894,OK,Dover,73734,35.982319,-97.912342,"(35.982319, -97.912342)"
1661,Hospital,Cooke Group,31595 Crane Via Suite 928,888-633-3433,KS,Piedmont,67122,37.888276,-96.242059,"(37.888276, -96.242059)"
1662,Hospital,Wyatt Group,5109 Cox Rue,206-224-0612,KY,Carrollton,41008,38.663866,-85.098906,"(38.663866, -85.098906)"
1663,Hospital,"Little, Sutton and Price",26492 Natalie Street Suite 167,823-752-6506,TN,Antioch,37011,36.170556,-86.8825,"(36.170556, -86.8825)"
1664,Pharmacy,Goodman Ltd,9431 Betty Crest,448-487-6385,UT,Lehi,84043,40.318139,-111.921078,"(40.318139, -111.921078)"
1665,Pharmacy,Perez-Bailey,37422 John Roads Suite 630,212-885-4908,TX,Corpus Christi,78465,27.777,-97.463213,"(27.777, -97.463213)"
1666,Pharmacy,"Turner, Haley and Arnold",24488 Mendez Street,603-780-2364,KS,Mound City,66056,38.243571,-94.766019,"(38.243571, -94.766019)"
1667,Pharmacy,Harrell and Sons,0079 Pearson Forks,939-623-6179,CA,Alpine,91901,32.74081,-116.976341,"(32.74081, -116.976341)"
1668,Pharmacy,"Meyer, Hunt and Rodriguez",76765 Johns Courts,749-028-2200,TX,Houston,77028,29.83399,-95.434241,"(29.833990000000004, -95.434241)"
1669,Hospital,Lee-Mueller,38045 James Groves,688-502-1328,PA,Warrington,18976,40.244807,-75.142587,"(40.244807, -75.142587)"
1670,Pharmacy,"Clark, Hoffman and Fisher",875 Lopez Rue Suite 955,101-181-7081,NE,Daykin,68338,40.306449,-97.14239,"(40.306449, -97.14239)"
1671,Pharmacy,Medina-Gonzalez,813 May Spurs Apt. 333,436-720-1453,CA,Santa Fe Springs,90670,33.927063,-118.063698,"(33.927063000000004, -118.063698)"
1672,Pharmacy,"Smith, Berry and Walker",2026 Craig Plain Apt. 566,813-124-8081,CA,Oxnard,93034,34.032383,-119.1343,"(34.032383, -119.1343)"
1673,Pharmacy,"Davis, Jones and Flores",8748 Cole Fort Apt. 612,590-711-7440,NE,Pender,68047,42.110449,-96.723917,"(42.110449, -96.723917)"
1674,Hospital,Gonzalez PLC,62755 Thomas Junctions,592-181-4485,IL,Oraville,62971,37.758646,-89.415831,"(37.758646, -89.41583100000003)"
1675,Pharmacy,Fitzgerald-Martin,4190 Tyler Key Suite 000,533-138-4711,MN,Hawick,56246,45.33763,-94.85611,"(45.33763, -94.85611)"
1676,Pharmacy,Pearson-Snyder,07767 Stacy Isle,465-061-2946,CA,White Water,92282,33.945145,-116.649937,"(33.945145000000004, -116.649937)"
